miR	Counts
hsa-miR-29a	111700
hsa-miR-130b	1086968
hsa-miR-21	1003308
hsa-miR-125b	1255366
hsa-miR-130a	57351
hsa-miR-24	188693
hsa-miR-145	995109
hsa-miR-222	139377
hsa-miR-92a	17413
hsa-miR-424	8071
hsa-miR-99a	14524
hsa-let-7b	49087
hsa-miR-221	264634
hsa-miR-100	75215
hsa-miR-125a-5p	135660
hsa-miR-4286	46683
hsa-miR-140-3p	84632
hsa-let-7i	13732
hsa-miR-1227	38
hsa-miR-210	28725
hsa-miR-214	19361
hsa-miR-22	24022
hsa-miR-29b	27104
hsa-miR-3164	21172
hsa-miR-191	15140
hsa-miR-31	103092
hsa-miR-374a	411
hsa-miR-181d	284
hsa-miR-143	27464
hsa-miR-4295	404
hsa-let-7f	23489
hsa-miR-10a	27982
hsa-miR-26a	18914
hsa-miR-19a	4196
hsa-miR-15b	9913
hsa-miR-196a	2721
hsa-miR-654-3p	2029
hsa-miR-545	91
hsa-let-7g	22612
hsa-miR-199a-5p	30188
hsa-miR-193b	22644
hsa-miR-361-3p	1554
hsa-miR-328	3880
hsa-miR-574-5p	6832
hsa-miR-494	961
hsa-miR-151-5p	10520
hsa-miR-28-3p	4893
hsa-miR-99b	3458
hsa-let-7e	8052
hsa-miR-20a	960
hsa-miR-16	18038
hsa-miR-204	326
hsa-miR-138	28570
hsa-miR-574-3p	25848
hsa-miR-29c	2853
hsa-miR-4284	1088
hsa-miR-1274a	2422
hsa-miR-484	14634
hsa-miR-337-3p	5227
hsa-miR-940	548
hsa-miR-152	6924
hsa-miR-615-3p	3885
hsa-miR-199b-5p	4791
hsa-miR-423-5p	690
hsa-miR-224	4692
hsa-miR-4281	42
hsa-miR-151-3p	1346
hsa-miR-10b	9053
hsa-miR-128	2062
hsa-miR-365	12147
hsa-miR-362-5p	1368
hsa-miR-92b	2429
hsa-miR-30d	2655
hsa-miR-122	3049
hsa-miR-19b	15465
hsa-miR-1260b	12790
hsa-miR-339-5p	4897
hsa-miR-4271	377
hsa-miR-4258	22
hsa-miR-1470	5
hsa-miR-3675-3p	39
hsa-miR-487a	132
hsa-miR-652	12032
hsa-miR-423-3p	3361
hsa-miR-887	570
hsa-let-7a	864
hsa-miR-181b	5093
hsa-miR-331-3p	14927
hsa-miR-17	4882
hsa-miR-23b	5622
hsa-miR-567	9932
hsa-miR-342-3p	9282
hsa-miR-181a	7600
hsa-miR-186	1479
hsa-miR-185	3142
hsa-miR-450a	172
hsa-miR-96	15
hsa-miR-326	450
hsa-miR-34a	560
hsa-miR-301b	265
