miR	Counts
hsa-miR-720	8713
hsa-miR-30e	2162
hsa-miR-2355-3p	60
hsa-miR-148a	5019
hsa-miR-4301	4791
hsa-miR-335	1258
hsa-miR-4308	314
hsa-miR-518b	34
hsa-miR-2355-5p	261
hsa-miR-98	1180
hsa-let-7d	5244
hsa-miR-3140	23
hsa-miR-1180	113
hsa-miR-1271	569
hsa-miR-4315	13453
hsa-miR-486-5p	212
hsa-miR-330-3p	84
hsa-miR-26b	1817
hsa-miR-181c	211
hsa-miR-15a	4251
hsa-miR-376c	4320
hsa-miR-708	1114
hsa-miR-324-3p	293
hsa-miR-370	2477
hsa-miR-382	660
hsa-miR-1280	15000
hsa-miR-27a	887
hsa-miR-4257	8
hsa-miR-329	1236
hsa-miR-155	532
hsa-miR-922	124
hsa-miR-30a	8162
hsa-miR-140-5p	3917
hsa-miR-361-5p	1064
hsa-miR-197	5284
hsa-miR-93	6460
hsa-miR-3175	282
hsa-miR-891a	332
hsa-miR-23c	791
hsa-miR-1248	348
hsa-miR-502-3p	299
hsa-miR-195	1069
hsa-miR-485-3p	440
hsa-miR-4298	37
hsa-miR-483-3p	2416
hsa-miR-218	5277
hsa-miR-873	161
hsa-miR-495	524
hsa-miR-432	314
hsa-miR-1323	111
hsa-miR-106b	1978
hsa-miR-1255a	36
hsa-miR-193a-5p	2782
hsa-miR-1307	572
hsa-miR-3194	13
hsa-miR-149	2044
hsa-miR-4288	12
hsa-miR-505	2310
hsa-miR-324-5p	654
hsa-miR-1262	7
hsa-miR-520f	32
hsa-miR-23a	3329
hsa-miR-497	1235
hsa-miR-532-5p	1037
hsa-miR-1914	13
hsa-miR-548aa	105
hsa-miR-671-5p	885
hsa-miR-874	835
hsa-miR-296-5p	1168
hsa-miR-134	903
hsa-miR-548b-3p	98
hsa-miR-27b	233
hsa-miR-373	45
hsa-miR-665	333
hsa-miR-641	5
hsa-miR-299-5p	757
hsa-miR-154	164
hsa-miR-1908	23
hsa-miR-193a-3p	1270
hsa-miR-192	381
hsa-miR-548v	7
hsa-miR-1296	523
hsa-miR-3943	122
hsa-miR-590-5p	802
hsa-miR-664	314
hsa-miR-487b	1763
hsa-miR-200c	9
hsa-miR-132	700
hsa-miR-374b	686
hsa-miR-451	790
hsa-miR-223	277
hsa-miR-339-3p	399
hsa-miR-345	1651
hsa-miR-136	631
hsa-miR-129-3p	867
hsa-miR-1197	14
hsa-miR-150	476
hsa-miR-3168	936
hsa-miR-3065-3p	232
hsa-miR-1249	423
hsa-miR-203	22
hsa-miR-671-3p	617
hsa-miR-660	1074
hsa-miR-25	2746
hsa-miR-3614-5p	382
hsa-miR-3127	9
hsa-miR-148b	1123
hsa-miR-1225-3p	15
hsa-miR-3682	3
hsa-miR-938	147
hsa-miR-146b-5p	346
hsa-miR-3676	988
hsa-miR-551b	1022
hsa-miR-659	12
hsa-miR-4300	74
hsa-miR-190b	23
hsa-miR-3182	1827
hsa-miR-520a-5p	170
hsa-miR-3924	11
hsa-miR-3138	979
hsa-miR-425	887
hsa-miR-942	139
hsa-miR-1260	397
hsa-miR-7	401
hsa-miR-30c	193
hsa-miR-3605-3p	42
hsa-miR-129-5p	52
hsa-miR-3151	39
hsa-miR-637	5
hsa-miR-342-5p	121
hsa-miR-3179	319
hsa-miR-338-3p	25
hsa-miR-615-5p	42
hsa-miR-379	994
hsa-miR-936	140
hsa-miR-455-3p	1269
hsa-miR-127-5p	284
hsa-miR-3165	364
hsa-miR-301a	1679
hsa-miR-941	200
hsa-miR-409-5p	139
hsa-miR-299-3p	130
hsa-miR-3171	607
hsa-miR-492	8
hsa-miR-137	124
hsa-miR-1274b	1026
hsa-miR-610	17
hsa-miR-205	1077
hsa-miR-146b-3p	184
hsa-miR-340	123
hsa-miR-135b	86
hsa-miR-655	91
hsa-miR-2117	58
hsa-miR-3125	2
hsa-miR-4278	53
hsa-miR-3167	97
hsa-miR-770-5p	320
hsa-miR-890	4
hsa-miR-101	428
hsa-miR-455-5p	212
hsa-miR-452	749
hsa-miR-380	138
hsa-miR-1193	96
hsa-miR-323-3p	410
hsa-miR-409-3p	526
hsa-miR-323b-3p	610
hsa-miR-496	102
hsa-miR-3180-5p	34
hsa-miR-381	127
hsa-miR-1224-3p	33
hsa-miR-144	17
hsa-miR-3613-3p	140
hsa-miR-769-3p	86
hsa-miR-627	365
hsa-miR-431	116
hsa-miR-196b	308
hsa-miR-126	346
hsa-miR-1290	17
hsa-miR-3613-5p	391
hsa-miR-188-5p	194
hsa-miR-548j	1
hsa-miR-500a	45
hsa-miR-3618	28
hsa-miR-4276	71
hsa-miR-4319	366
hsa-miR-503	79
hsa-miR-561	23
hsa-miR-493	129
hsa-miR-337-5p	216
hsa-miR-1292	23
hsa-miR-296-3p	246
hsa-miR-640	30
hsa-miR-28-5p	234
hsa-miR-1972	376
hsa-miR-450b-3p	3
hsa-miR-3116	51
hsa-miR-3141	50
hsa-miR-2116	33
hsa-miR-3170	227
hsa-miR-491-5p	135
hsa-miR-769-5p	141
hsa-miR-556-5p	5
hsa-miR-4277	20
hsa-miR-4268	1
hsa-miR-3940	255
hsa-miR-629	179
hsa-miR-200b	1
hsa-miR-3200-3p	30
hsa-miR-127-3p	258
hsa-miR-539	222
hsa-miR-876-5p	15
hsa-miR-4326	99
hsa-miR-3657	6
hsa-miR-3654	134
hsa-miR-1253	11
hsa-miR-555	4
hsa-miR-34c-5p	81
hsa-miR-3117	26
hsa-miR-1288	10
hsa-miR-483-5p	39
hsa-miR-3912	1878
hsa-miR-1185	60
hsa-miR-1973	59
hsa-miR-548z	54
hsa-miR-1206	6
hsa-miR-675	8
hsa-miR-513a-3p	91
hsa-miR-369-5p	216
hsa-miR-744	477
hsa-miR-2052	212
hsa-miR-3160	163
hsa-miR-1179	29
hsa-miR-1269	27
hsa-miR-32	94
hsa-miR-1285	31
hsa-miR-1301	89
hsa-miR-3647-3p	240
hsa-miR-532-3p	206
hsa-miR-571	1
hsa-miR-520e	8
hsa-miR-3679-5p	90
hsa-miR-211	77
hsa-miR-3201	26
hsa-miR-135a	36
hsa-miR-454	93
hsa-miR-3176	99
hsa-miR-3183	275
hsa-miR-217	30
hsa-miR-3131	16
hsa-miR-1471	45
hsa-miR-1226	146
hsa-miR-628-3p	51
hsa-miR-187	30
hsa-miR-190	158
hsa-miR-645	1
hsa-miR-509-5p	2
hsa-miR-1266	8
hsa-miR-1272	26
hsa-miR-520a-3p	4
hsa-miR-1254	22
hsa-miR-4313	123
hsa-miR-95	132
hsa-miR-543	191
hsa-miR-3622a-3p	48
hsa-miR-548f	3
hsa-miR-125a-3p	53
hsa-miR-3937	12
hsa-miR-142-3p	103
hsa-miR-4305	48
hsa-miR-124	58
hsa-miR-3169	49
hsa-miR-4290	12
hsa-miR-1284	39
hsa-miR-3188	26
hsa-miR-600	265
hsa-miR-514b-3p	25
hsa-miR-1228	243
hsa-miR-623	78
hsa-miR-3615	148
hsa-miR-515-3p	16
hsa-miR-3144-5p	24
hsa-miR-554	21
hsa-miR-3132	53
hsa-miR-3620	85
hsa-miR-362-3p	221
hsa-miR-3118	34
hsa-miR-3158	40
hsa-miR-3692	37
hsa-miR-499-5p	101
hsa-miR-103	5
hsa-miR-1287	108
hsa-miR-498	14
hsa-miR-1208	3
hsa-miR-516a-5p	44
hsa-miR-34c-3p	65
hsa-miR-34b	172
hsa-miR-331-5p	104
hsa-miR-377	150
hsa-miR-564	12
hsa-miR-3612	29
hsa-miR-504	17
hsa-miR-490-5p	177
hsa-miR-2114	12
hsa-miR-643	9
hsa-miR-4299	30
hsa-miR-668	47
hsa-miR-1244	31
hsa-miR-410	43
hsa-miR-642b	9
hsa-miR-1238	2
hsa-miR-509-3-5p	2
hsa-miR-3942	5
hsa-miR-1237	51
hsa-miR-3678-5p	1
hsa-miR-30b	101
hsa-miR-1203	10
hsa-miR-139-5p	82
hsa-miR-758	71
hsa-miR-642a	28
hsa-miR-1273e	13
hsa-miR-376a	36
hsa-miR-3665	83
hsa-miR-1273c	45
hsa-miR-188-3p	24
hsa-miR-4282	2
hsa-miR-1305	10
hsa-miR-544	1
hsa-miR-617	33
hsa-miR-1270	17
hsa-miR-542-3p	202
hsa-miR-2277-5p	87
hsa-miR-371-5p	40
hsa-miR-3605-5p	15
hsa-miR-566	12
hsa-miR-501-5p	69
hsa-miR-595	11
hsa-miR-3611	7
hsa-miR-4275	5
hsa-miR-766	121
hsa-miR-183	31
hsa-miR-549	27
hsa-miR-4274	78
hsa-miR-3152	131
hsa-miR-3137	20
hsa-miR-3123	7
hsa-miR-1827	7
hsa-miR-3677	12
hsa-miR-935	70
hsa-miR-4306	44
hsa-miR-3908	16
hsa-miR-1469	41
hsa-miR-3918	3
hsa-miR-1293	2
hsa-miR-3616-3p	64
hsa-miR-4280	14
hsa-miR-648	8
hsa-miR-885-5p	12
hsa-miR-3155	12
hsa-miR-3153	44
hsa-miR-147b	6
hsa-miR-4261	95
hsa-miR-3660	48
hsa-miR-3133	88
hsa-miR-3122	5
hsa-miR-1250	5
hsa-miR-889	36
hsa-miR-3186-5p	9
hsa-miR-1286	22
hsa-miR-3121	3
hsa-miR-3065-5p	109
hsa-miR-490-3p	8
hsa-miR-3619	20
hsa-miR-3143	59
hsa-miR-3180-3p	36
hsa-miR-146a	29
hsa-miR-489	18
hsa-miR-3913	31
hsa-miR-141	24
hsa-miR-877	68
hsa-miR-1236	19
hsa-miR-212	80
hsa-miR-3650	49
hsa-miR-762	144
hsa-miR-891b	6
hsa-miR-4327	11
hsa-miR-606	13
hsa-miR-1	77
hsa-miR-4270	11
hsa-miR-1246	48
hsa-miR-3174	88
hsa-miR-4272	27
hsa-miR-208b	14
hsa-miR-3180	5
hsa-miR-363	17
hsa-miR-653	11
hsa-miR-3202	11
hsa-miR-760	1
hsa-miR-3130-5p	25
hsa-miR-2861	8
hsa-miR-3191	3
hsa-miR-614	167
hsa-miR-550a	42
hsa-miR-466	18
hsa-miR-3148	12
hsa-miR-320d	9
hsa-miR-1224-5p	31
hsa-miR-943	9
hsa-miR-509-3p	13
hsa-miR-485-5p	90
hsa-miR-3915	8
hsa-miR-421	81
hsa-miR-585	18
hsa-miR-1273	8
hsa-miR-3150	51
hsa-miR-3074	17
hsa-miR-526b	34
hsa-miR-933	14
hsa-miR-3178	44
hsa-miR-590-3p	91
hsa-miR-3909	12
hsa-miR-625	70
hsa-miR-142-5p	124
hsa-miR-501-3p	37
hsa-miR-3617	2
hsa-miR-647	14
hsa-miR-182	46
hsa-miR-4255	16
hsa-miR-802	35
hsa-miR-580	10
hsa-miR-522	3
hsa-miR-1537	11
hsa-miR-937	12
hsa-miR-375	2
hsa-miR-4263	27
hsa-miR-636	94
hsa-miR-559	9
hsa-miR-384	27
hsa-miR-3938	19
hsa-miR-3675-5p	12
hsa-miR-630	3
hsa-miR-3926	32
hsa-miR-376b	9
hsa-miR-433	39
hsa-miR-1275	45
hsa-miR-1291	7
hsa-miR-3154	17
hsa-miR-548c-5p	13
hsa-miR-551a	49
hsa-miR-3647-5p	15
hsa-miR-2053	25
hsa-miR-1267	35
hsa-miR-219-1-3p	9
hsa-miR-3181	35
hsa-miR-3198	5
hsa-miR-518f	9
hsa-miR-3159	20
hsa-miR-524-5p	11
hsa-miR-450b-5p	68
hsa-miR-885-3p	76
hsa-miR-215	18
hsa-miR-1909	17
hsa-miR-200a	9
hsa-miR-3922	25
hsa-miR-4259	11
hsa-miR-520h	1
hsa-miR-599	6
hsa-miR-3655	2
hsa-miR-662	8
hsa-miR-548o	55
hsa-miR-3173	12
hsa-miR-944	20
hsa-miR-4330	20
hsa-miR-3907	6
hsa-miR-323b-5p	13
hsa-miR-548p	3
hsa-miR-523	6
hsa-miR-651	15
hsa-miR-3129	5
hsa-miR-1207-5p	27
hsa-miR-612	17
hsa-miR-422a	47
hsa-miR-3147	3
hsa-miR-2113	2
hsa-miR-3667-5p	8
hsa-miR-628-5p	65
hsa-miR-4320	70
hsa-miR-553	41
hsa-miR-3166	4
hsa-miR-657	8
hsa-miR-3136	11
hsa-miR-378c	33
hsa-miR-1910	10
hsa-miR-4252	8
hsa-miR-4253	4
hsa-miR-3671	4
hsa-miR-4324	30
hsa-miR-491-3p	10
hsa-miR-1294	10
hsa-miR-1255b	3
hsa-miR-4294	10
hsa-miR-593	4
hsa-miR-3146	33
hsa-miR-18a	10
hsa-miR-544b	3
hsa-miR-764	9
hsa-miR-650	17
hsa-miR-3195	10
hsa-miR-4321	125
hsa-miR-588	2
hsa-miR-3163	10
hsa-miR-4302	2
hsa-miR-542-5p	57
hsa-miR-429	38
hsa-miR-759	6
hsa-miR-4293	6
hsa-miR-1538	12
hsa-miR-3606	12
hsa-miR-605	27
hsa-miR-3130-3p	13
hsa-miR-638	19
hsa-miR-3189	10
hsa-miR-576-5p	41
hsa-miR-216b	9
hsa-miR-3664	9
hsa-miR-3646	9
hsa-miR-562	10
hsa-miR-1303	5
hsa-miR-448	4
hsa-miR-1247	13
hsa-miR-939	16
hsa-miR-3945	8
hsa-miR-1825	20
hsa-miR-3145	28
hsa-miR-656	10
hsa-miR-300	10
hsa-miR-1234	29
hsa-miR-4273	8
hsa-miR-575	8
hsa-miR-3658	7
hsa-miR-369-3p	21
hsa-miR-658	14
hsa-miR-934	10
hsa-miR-323-5p	11
hsa-miR-1273d	15
hsa-miR-330-5p	8
hsa-miR-4267	3
hsa-miR-1297	3
hsa-miR-297	21
hsa-miR-767-3p	2
hsa-miR-1207-3p	2
hsa-miR-1256	11
hsa-miR-449a	8
hsa-miR-3928	14
hsa-let-7c	11
hsa-miR-876-3p	4
hsa-miR-676	25
hsa-miR-320b	8
hsa-miR-3910	22
hsa-miR-4269	7
hsa-miR-1205	1
hsa-miR-2054	15
hsa-miR-1915	37
hsa-miR-1912	17
hsa-miR-888	12
hsa-miR-1468	12
hsa-miR-1233	26
hsa-miR-4254	21
hsa-miR-3691	1
hsa-miR-589	26
hsa-miR-582-5p	33
hsa-miR-718	10
hsa-miR-486-3p	10
hsa-miR-548a-5p	18
hsa-miR-3162	70
hsa-miR-920	12
hsa-miR-517a	4
hsa-miR-378b	12
hsa-miR-3713	4
hsa-miR-3200-5p	3
hsa-miR-4292	32
hsa-miR-2276	12
hsa-miR-105	2
hsa-miR-1281	47
hsa-miR-320e	2
hsa-miR-219-5p	5
hsa-miR-3126-3p	15
hsa-miR-325	6
hsa-miR-2115	2
hsa-miR-3714	9
hsa-miR-3659	6
hsa-miR-219-2-3p	13
hsa-miR-892b	2
hsa-miR-1289	8
hsa-miR-3139	2
hsa-miR-4309	2
hsa-miR-3683	2
hsa-miR-663b	5
hsa-miR-3616-5p	18
hsa-miR-587	10
hsa-miR-620	8
hsa-miR-411	18
hsa-miR-1306	18
hsa-miR-3688	8
hsa-miR-572	9
hsa-miR-3149	5
hsa-miR-3156	4
hsa-miR-3193	11
hsa-miR-576-3p	11
hsa-miR-3663-3p	17
hsa-miR-302b	1
hsa-miR-3911	14
hsa-miR-3916	17
hsa-miR-583	2
hsa-miR-609	4
hsa-miR-3662	10
hsa-miR-3936	4
hsa-miR-302a	6
hsa-miR-4307	8
hsa-miR-3679-3p	11
hsa-miR-371-3p	5
hsa-miR-520d-3p	9
hsa-miR-216a	3
hsa-miR-133b	3
hsa-miR-570	13
hsa-miR-548q	9
hsa-miR-520b	17
hsa-miR-1183	28
hsa-miR-4264	19
hsa-miR-4304	6
hsa-miR-4265	5
hsa-miR-548b-5p	8
hsa-miR-107	6
hsa-miR-3192	10
hsa-miR-3144-3p	4
hsa-miR-3944	40
hsa-miR-558	4
hsa-miR-194	38
hsa-miR-514b-5p	2
hsa-miR-3925	25
hsa-miR-3157	7
hsa-miR-597	19
hsa-miR-602	39
hsa-miR-449c	60
hsa-miR-3921	2
hsa-miR-4285	4
hsa-miR-646	6
hsa-miR-4322	3
hsa-miR-184	11
hsa-miR-9	13
hsa-miR-632	4
hsa-miR-513b	10
hsa-miR-1265	6
hsa-miR-3661	6
hsa-miR-2110	20
hsa-miR-3185	8
hsa-miR-4287	3
hsa-miR-3923	12
hsa-miR-3670	3
hsa-miR-633	13
hsa-miR-4312	5
hsa-miR-3197	4
hsa-miR-1229	29
hsa-miR-1302	2
hsa-miR-1268	19
hsa-miR-592	5
hsa-miR-508-3p	5
hsa-miR-563	3
hsa-miR-1913	11
hsa-miR-3920	4
hsa-miR-4314	9
hsa-miR-4283	1
hsa-miR-603	4
hsa-miR-875-3p	2
hsa-miR-3126-5p	17
hsa-miR-20b	33
hsa-miR-511	6
hsa-miR-1277	20
hsa-miR-1321	7
hsa-miR-3120	14
hsa-miR-512-5p	14
hsa-miR-3186-3p	24
hsa-miR-1178	10
hsa-miR-515-5p	8
hsa-miR-548y	1
hsa-miR-548d-3p	16
hsa-miR-1298	5
hsa-miR-548x	5
hsa-miR-1261	6
hsa-miR-33b	10
hsa-miR-1322	4
hsa-miR-1231	1
hsa-miR-1539	8
hsa-miR-626	2
hsa-miR-206	1
hsa-miR-1200	7
hsa-miR-302f	3
hsa-miR-3687	4
hsa-miR-631	5
hsa-miR-208a	3
hsa-miR-548l	8
hsa-miR-584	11
hsa-miR-711	2
hsa-miR-412	1
hsa-miR-3674	3
hsa-miR-320a	13
hsa-miR-367	2
hsa-miR-1304	3
hsa-miR-1184	6
hsa-miR-320c	4
hsa-miR-921	2
hsa-miR-3187	2
hsa-miR-3177	12
hsa-miR-765	11
hsa-miR-3651	3
hsa-miR-613	8
hsa-miR-33a	2
hsa-miR-3667-3p	9
hsa-miR-4256	9
hsa-miR-3199	6
hsa-miR-1278	20
hsa-miR-3648	7
hsa-miR-3669	9
hsa-miR-499-3p	2
hsa-miR-3668	3
hsa-miR-2277-3p	6
hsa-miR-4291	9
hsa-miR-3656	4
hsa-miR-1279	2
hsa-miR-568	6
hsa-miR-1911	2
hsa-miR-548c-3p	11
hsa-miR-346	2
hsa-miR-557	6
hsa-miR-3681	11
hsa-miR-3680	2
hsa-miR-3190	7
hsa-miR-3929	5
hsa-miR-619	5
hsa-miR-3914	4
hsa-miR-601	2
hsa-miR-153	12
hsa-miR-518e	3
hsa-miR-3649	14
hsa-miR-3678-3p	2
hsa-miR-591	1
hsa-miR-622	8
hsa-miR-548m	7
hsa-miR-3622b-3p	1
hsa-miR-103-as	4
hsa-miR-924	3
hsa-miR-3607-3p	2
hsa-miR-607	6
hsa-miR-1276	13
hsa-miR-573	2
hsa-miR-3610	3
hsa-miR-634	14
hsa-miR-378	6
hsa-miR-1295	5
hsa-miR-514	4
hsa-miR-670	7
hsa-miR-654-5p	2
hsa-miR-3684	1
hsa-miR-1182	5
hsa-miR-1299	2
hsa-miR-513c	5
hsa-miR-550b	1
hsa-miR-4303	6
hsa-miR-383	1
hsa-miR-1976	1
hsa-miR-106a	1
hsa-miR-663	8
hsa-miR-3673	3
hsa-miR-202	6
hsa-miR-516b	3
hsa-miR-524-3p	12
hsa-miR-302c	3
hsa-miR-3939	1
hsa-miR-548a-3p	3
hsa-miR-596	10
hsa-miR-1263	5
hsa-miR-4328	2
hsa-miR-3935	2
hsa-miR-1258	2
hsa-miR-525-5p	1
hsa-miR-548d-5p	1
hsa-miR-639	3
hsa-miR-520c-3p	2
hsa-miR-624	3
hsa-miR-4316	1
hsa-miR-3128	1
hsa-miR-577	1
hsa-miR-608	2
hsa-miR-510	2
hsa-miR-3614-3p	4
hsa-miR-3672	2
hsa-miR-518d-3p	3
hsa-miR-1264	1
hsa-miR-488	9
hsa-miR-1251	6
hsa-miR-649	1
hsa-miR-548w	2
hsa-miR-586	4
hsa-miR-4279	1
hsa-miR-3184	3
hsa-miR-508-5p	1
hsa-miR-521	1
hsa-miR-3690	3
hsa-miR-3607-5p	7
hsa-miR-3934	3
hsa-miR-548h	2
hsa-miR-338-5p	1
hsa-miR-4323	1
hsa-miR-372	3
hsa-miR-1181	3
hsa-miR-3150b	3
hsa-miR-661	1
hsa-miR-3621	3
hsa-miR-1243	5
hsa-miR-519c-3p	2
hsa-miR-1324	1
hsa-miR-548g	1
hsa-miR-525-3p	3
hsa-miR-4251	1
hsa-miR-581	2
hsa-miR-500b	1
hsa-miR-621	7
hsa-miR-3196	2
hsa-miR-1282	1
hsa-miR-1225-5p	3
hsa-miR-3686	4
hsa-miR-2909	1
hsa-miR-579	2
hsa-miR-556-3p	2
hsa-miR-569	1
hsa-miR-3917	1
hsa-miR-1283	1
hsa-miR-548n	2
hsa-miR-3142	1
hsa-miR-3161	1
hsa-miR-548u	1
hsa-miR-3119	1
hsa-miR-548i	1
hsa-miR-519d	1
hsa-miR-516a-3p	2
hsa-miR-3941	1
hsa-miR-298	5
hsa-miR-548s	1
hsa-miR-3134	1
hsa-miR-767-5p	2
hsa-miR-635	1
hsa-miR-548t	1
hsa-miR-2278	1
hsa-miR-4311	2
hsa-miR-582-3p	1
hsa-miR-3622b-5p	1
hsa-miR-518a-3p	1
hsa-miR-519e	1
hsa-miR-18b	1
hsa-miR-761	1
hsa-miR-3135	1
hsa-miR-139-3p	1
hsa-miR-4318	1
