miR	Counts
hsa-miR-125b	610298
hsa-miR-130b	268450
hsa-miR-138	10328
hsa-miR-31	69471
hsa-miR-21	640157
hsa-miR-15b	10274
*	9215056
hsa-miR-145	593992
hsa-miR-26a	30370
hsa-miR-574-3p	33828
hsa-miR-10b	18598
hsa-miR-191	53027
hsa-miR-100	10441
hsa-miR-29b	61609
hsa-miR-136	609
hsa-miR-130a	31570
hsa-miR-24	163944
hsa-miR-125a-5p	170285
hsa-miR-29a	144962
hsa-miR-151-5p	15957
hsa-miR-221	54342
hsa-miR-567	13841
hsa-miR-185	9481
hsa-miR-140-3p	61561
hsa-miR-34a	107237
hsa-miR-3164	18437
hsa-miR-1280	31150
hsa-miR-1260b	24288
hsa-miR-93	3329
hsa-miR-345	1010
hsa-miR-30a	9321
hsa-miR-193b	21971
hsa-let-7f	40397
hsa-miR-331-3p	5794
hsa-miR-16	16268
hsa-miR-4286	52324
hsa-miR-4301	8834
hsa-let-7g	23193
hsa-miR-99a	12613
hsa-miR-181a	7832
hsa-miR-3182	5552
hsa-miR-214	33992
hsa-let-7d	9639
hsa-miR-3179	778
hsa-miR-10a	13936
hsa-miR-23b	7084
hsa-miR-423-3p	1399
hsa-miR-23c	1174
hsa-miR-3613-5p	749
hsa-miR-152	8383
hsa-miR-204	1175
hsa-let-7i	6907
hsa-miR-376c	4936
hsa-miR-193a-3p	1224
hsa-miR-574-5p	13611
hsa-miR-4295	1348
hsa-let-7b	28741
hsa-miR-199b-5p	2357
hsa-miR-3150	1324
hsa-miR-22	7850
hsa-miR-106b	874
hsa-miR-532-5p	1827
hsa-miR-19b	12243
hsa-miR-218	4008
hsa-miR-28-3p	4189
hsa-miR-143	30049
hsa-miR-483-3p	5667
hsa-miR-484	9608
hsa-miR-1973	1046
hsa-miR-197	5722
hsa-miR-193a-5p	2090
hsa-miR-19a	2687
hsa-miR-29c	8438
hsa-miR-4284	8729
hsa-miR-222	13484
hsa-miR-551b	1157
hsa-miR-92a	11662
hsa-miR-99b	3096
hsa-miR-365	11611
hsa-miR-328	2893
hsa-miR-98	1058
hsa-miR-361-5p	4587
hsa-miR-148a	3315
hsa-miR-199a-5p	18218
hsa-miR-483-5p	667
hsa-miR-4315	66340
hsa-miR-25	1290
hsa-miR-15a	2036
hsa-miR-374b	1170
hsa-miR-122	3096
hsa-let-7a	959
hsa-miR-195	2409
hsa-miR-652	28275
hsa-miR-424	5627
hsa-miR-186	538
hsa-let-7e	7754
hsa-miR-455-3p	1844
hsa-miR-30d	3483
hsa-miR-671-5p	1611
hsa-miR-23a	3201
hsa-miR-134	1197
hsa-miR-210	1688
hsa-miR-342-3p	8300
hsa-miR-3175	500
hsa-miR-17	1740
hsa-miR-339-5p	1768
hsa-miR-425	1133
hsa-miR-4278	505
hsa-miR-421	2127
hsa-miR-181b	689
hsa-miR-1274b	607
hsa-miR-654-3p	963
hsa-miR-3168	608
hsa-miR-301a	5642
hsa-miR-205	1494
hsa-miR-379	526
hsa-miR-940	1874
hsa-miR-720	7514
hsa-miR-487b	974
hsa-miR-590-5p	2570
hsa-miR-140-5p	2859
hsa-miR-874	1319
hsa-miR-744	1244
hsa-miR-30e	1097
hsa-miR-337-3p	1387
hsa-miR-1260	847
hsa-miR-660	784
hsa-miR-196a	4513
hsa-miR-505	1513
hsa-miR-3165	544
hsa-miR-3614-5p	561
hsa-miR-3183	743
hsa-miR-615-3p	1644
hsa-miR-148b	691
hsa-miR-762	1208
hsa-miR-192	670
hsa-miR-454	514
hsa-miR-664	686
hsa-miR-708	717
hsa-miR-151-3p	1611
hsa-miR-149	1348
hsa-miR-4263	586
hsa-miR-494	648
hsa-miR-887	818
hsa-miR-628-5p	553
hsa-miR-92b	1907
hsa-miR-1246	595
hsa-miR-3152	701
hsa-miR-224	661
hsa-miR-128	1802
hsa-miR-296-5p	744
hsa-miR-1274a	2039
hsa-miR-27a	560
hsa-miR-26b	1873
hsa-miR-34c-5p	704
hsa-miR-600	1790
hsa-miR-362-5p	1139
hsa-miR-516a-5p	533
