miR	Counts
hsa-miR-100	5441
hsa-miR-125b	624594
hsa-miR-125a-5p	234829
hsa-miR-214	66144
hsa-miR-505	1633
hsa-miR-483-3p	17560
hsa-miR-130b	362513
hsa-miR-210	14334
hsa-miR-193b	31620
hsa-miR-193a-5p	5103
hsa-miR-145	173389
hsa-miR-21	11507
hsa-miR-92a	27455
hsa-miR-181a	20533
hsa-miR-3164	19780
hsa-let-7b	83831
hsa-miR-24	32788
hsa-miR-423-5p	837
hsa-miR-140-3p	30844
hsa-miR-744	4265
hsa-let-7e	15408
*	4827510
hsa-let-7g	15564
hsa-miR-574-5p	39069
hsa-miR-221	1803
hsa-miR-34a	53663
hsa-miR-224	2252
hsa-miR-1260b	25394
hsa-miR-342-3p	8611
hsa-miR-10a	5515
hsa-miR-222	13603
hsa-miR-4286	35299
hsa-miR-328	27538
hsa-let-7i	10928
hsa-miR-151-5p	8020
hsa-miR-191	17945
hsa-miR-23b	3493
hsa-miR-3175	1287
hsa-miR-152	3982
hsa-miR-1260	973
hsa-miR-31	48400
hsa-let-7f	9454
hsa-miR-134	831
hsa-miR-26a	6789
hsa-miR-615-3p	7559
hsa-miR-1280	51637
hsa-miR-574-3p	44092
hsa-miR-423-3p	3670
hsa-miR-26b	789
hsa-miR-331-3p	7078
hsa-miR-143	1044
hsa-miR-567	9955
hsa-miR-4301	2749
hsa-let-7d	7370
hsa-miR-720	10141
hsa-miR-29a	3440
hsa-miR-199a-5p	2020
hsa-miR-455-3p	1660
hsa-miR-10b	722
hsa-miR-185	1862
hsa-miR-4315	4378
hsa-miR-138	2546
hsa-miR-122	3158
hsa-miR-3915	4195
hsa-miR-23a	1300
hsa-miR-30a	1596
hsa-miR-484	11593
hsa-miR-149	3535
hsa-miR-296-5p	2334
hsa-miR-29b	716
hsa-miR-1249	2606
hsa-miR-339-5p	835
hsa-miR-22	3209
hsa-miR-196a	8070
hsa-miR-652	12095
hsa-miR-151-3p	523
hsa-miR-483-5p	590
hsa-miR-218	513
hsa-miR-361-5p	1701
hsa-miR-671-5p	2385
hsa-miR-16	1503
hsa-miR-197	15325
hsa-miR-15b	3140
hsa-miR-181b	4513
hsa-miR-130a	3381
hsa-miR-324-3p	729
hsa-miR-486-5p	508
hsa-miR-99a	2779
hsa-miR-4278	605
hsa-miR-93	1496
hsa-miR-25	879
hsa-miR-370	1369
hsa-miR-887	551
hsa-miR-92b	2696
hsa-miR-99b	1581
hsa-miR-365	2250
hsa-miR-671-3p	562
hsa-miR-940	1575
hsa-miR-874	2113
hsa-miR-614	1263
hsa-miR-4326	2925
hsa-miR-3179	507
hsa-let-7a	825
hsa-miR-30d	824
hsa-miR-3168	505
hsa-miR-4308	868
hsa-miR-4284	764
