miR	Counts
hsa-miR-21	677340
hsa-miR-92a	18507
hsa-miR-145	563342
hsa-miR-218	7722
hsa-miR-130b	35091
hsa-miR-29a	88513
hsa-miR-148a	10894
hsa-miR-19b	20118
hsa-miR-125b	580927
hsa-miR-222	56961
hsa-miR-100	51974
hsa-miR-16	17175
*	5511501
hsa-miR-151-5p	7174
hsa-let-7b	36890
hsa-miR-130a	1057
hsa-miR-1260b	3222
hsa-let-7g	15406
hsa-miR-342-3p	7246
hsa-miR-24	224784
hsa-miR-26a	31415
hsa-miR-125a-5p	109467
hsa-miR-424	7320
hsa-miR-195	1859
hsa-miR-34a	34904
hsa-miR-221	72450
hsa-let-7i	11144
hsa-miR-374a	678
hsa-miR-129-3p	3392
hsa-miR-199a-5p	47110
hsa-miR-25	4027
hsa-miR-339-5p	4356
hsa-miR-181a	9176
hsa-miR-143	26877
hsa-miR-590-5p	1211
hsa-miR-574-3p	19196
hsa-miR-152	6206
hsa-miR-193b	9590
hsa-miR-92b	2239
hsa-miR-365	3974
hsa-miR-22	8374
hsa-miR-199b-5p	2910
hsa-miR-214	27796
hsa-miR-30d	3036
hsa-miR-574-5p	5768
hsa-miR-15a	3100
hsa-miR-30a	6448
hsa-miR-337-3p	2780
hsa-miR-361-5p	1863
hsa-miR-23b	5865
hsa-miR-26b	3597
hsa-miR-10b	11703
hsa-miR-99a	14593
hsa-miR-4286	20568
hsa-miR-31	25867
hsa-miR-191	22904
hsa-let-7f	16149
hsa-miR-452	1986
hsa-miR-3164	1282
hsa-miR-423-3p	2125
hsa-miR-197	3456
hsa-miR-29c	4007
hsa-let-7d	6636
hsa-miR-376c	3462
hsa-miR-29b	18736
hsa-miR-181b	2843
hsa-miR-15b	17872
hsa-miR-10a	17269
hsa-miR-3676	734
hsa-miR-484	6623
hsa-miR-4315	14700
hsa-miR-140-3p	26290
hsa-miR-23c	1189
hsa-miR-186	1008
hsa-miR-494	672
hsa-miR-660	912
hsa-miR-98	872
hsa-miR-4320	783
hsa-miR-185	2046
hsa-miR-940	847
hsa-miR-210	5951
hsa-miR-17	3095
hsa-miR-425	1292
hsa-miR-483-3p	1667
hsa-miR-331-3p	4618
hsa-miR-874	1130
hsa-miR-93	2299
hsa-miR-345	1906
hsa-let-7e	11779
hsa-miR-299-5p	1205
hsa-miR-455-3p	2783
hsa-miR-374b	1368
hsa-miR-224	2584
hsa-miR-301a	2514
hsa-miR-126	704
hsa-miR-28-3p	3097
hsa-miR-99b	2816
hsa-miR-23a	3771
hsa-miR-328	1307
hsa-miR-106b	1136
hsa-miR-487b	1517
hsa-miR-19a	3314
hsa-miR-532-5p	1172
hsa-miR-140-5p	2191
hsa-miR-193a-5p	1947
hsa-miR-1274a	1561
hsa-miR-744	671
hsa-miR-132	1046
hsa-miR-505	1038
hsa-miR-204	603
hsa-miR-138	3590
hsa-miR-4284	1574
hsa-miR-370	1035
hsa-miR-3182	6077
hsa-miR-4295	3519
hsa-miR-485-3p	698
hsa-miR-151-3p	1461
hsa-miR-146b-5p	660
hsa-miR-30e	1978
hsa-miR-127-5p	765
hsa-miR-379	1174
hsa-miR-361-3p	892
hsa-miR-155	904
hsa-miR-150	566
hsa-miR-193a-3p	1076
hsa-miR-148b	1040
hsa-miR-329	697
hsa-let-7a	734
hsa-miR-671-5p	915
hsa-miR-720	2692
hsa-miR-134	572
hsa-miR-192	533
hsa-miR-1280	4499
hsa-miR-451	664
hsa-miR-34c-5p	660
hsa-miR-887	675
hsa-miR-127-3p	619
hsa-miR-136	542
hsa-miR-149	919
hsa-miR-27a	589
hsa-miR-4263	527
hsa-miR-497	994
hsa-miR-128	1634
hsa-miR-654-3p	1121
hsa-miR-1274b	956
hsa-miR-223	706
hsa-miR-542-3p	1028
hsa-miR-335	703
hsa-miR-4301	3057
hsa-miR-326	566
hsa-miR-600	1908
hsa-miR-362-5p	704
hsa-miR-516a-5p	531
hsa-miR-3912	852
hsa-miR-567	501
