miR	Counts
hsa-miR-21	2860632
hsa-miR-145	1728753
hsa-let-7i	58499
hsa-miR-574-5p	8690
hsa-miR-19b	94934
hsa-miR-92a	16516
hsa-let-7e	35375
hsa-miR-125b	890859
hsa-miR-483-3p	3027
hsa-miR-100	157544
hsa-miR-10b	22605
hsa-miR-31	233913
hsa-miR-199a-5p	181465
hsa-miR-143	233658
hsa-miR-29a	275081
hsa-miR-99a	50019
hsa-miR-130a	233341
hsa-let-7b	177896
hsa-miR-221	148419
hsa-miR-26a	102202
hsa-miR-125a-5p	142864
hsa-miR-342-3p	15724
hsa-miR-16	73204
hsa-miR-24	581839
*	4924775
hsa-miR-29c	31397
hsa-let-7f	80055
hsa-miR-214	53070
hsa-miR-1271	591
hsa-miR-218	16852
hsa-miR-494	1040
hsa-let-7g	66233
hsa-miR-487b	2544
hsa-miR-138	11645
hsa-miR-29b	83252
hsa-miR-455-3p	12990
hsa-miR-23a	9652
hsa-miR-140-3p	57960
hsa-miR-191	32840
hsa-miR-424	64071
hsa-miR-452	5528
hsa-miR-484	8208
hsa-miR-148b	5950
hsa-miR-98	6815
hsa-miR-34a	44878
hsa-miR-10a	66578
hsa-miR-181a	19882
hsa-miR-4301	7078
hsa-miR-148a	44096
hsa-miR-19a	24087
hsa-miR-152	19709
hsa-miR-335	3902
hsa-let-7d	28366
hsa-miR-3613-5p	2570
hsa-miR-26b	23085
hsa-miR-222	96208
hsa-miR-185	10448
hsa-miR-376c	9458
hsa-miR-15a	10692
hsa-miR-199b-5p	14973
hsa-miR-301a	8397
hsa-miR-195	12807
hsa-miR-337-3p	6461
hsa-miR-128	4841
hsa-miR-23b	15622
hsa-miR-376b	2268
hsa-miR-30e	5087
hsa-miR-224	18730
hsa-miR-17	11383
hsa-miR-22	20514
hsa-miR-181b	5198
hsa-miR-196b	1909
hsa-miR-365	10913
hsa-miR-15b	23189
hsa-miR-93	9704
hsa-miR-23c	3182
hsa-miR-193b	9605
hsa-miR-30d	2823
hsa-miR-130b	31228
hsa-miR-379	2449
hsa-miR-660	6164
hsa-miR-193a-3p	2285
hsa-miR-505	2686
hsa-miR-127-5p	668
hsa-miR-574-3p	20216
hsa-miR-129-3p	996
hsa-miR-339-5p	7159
hsa-miR-362-3p	1035
hsa-miR-25	9543
hsa-miR-99b	6733
hsa-miR-140-5p	8782
hsa-miR-942	761
hsa-miR-197	2915
hsa-miR-361-3p	3611
hsa-miR-196a	6013
hsa-miR-27b	1012
hsa-miR-423-3p	3162
hsa-miR-4286	14832
hsa-miR-421	681
hsa-miR-134	765
hsa-miR-874	787
hsa-miR-30a	13950
hsa-miR-136	1776
hsa-miR-455-5p	803
hsa-miR-331-3p	7053
hsa-miR-425	2115
hsa-miR-590-5p	2600
hsa-miR-362-5p	793
hsa-miR-7	1314
hsa-miR-542-3p	952
hsa-miR-122	1855
hsa-miR-28-3p	8490
hsa-miR-337-5p	637
hsa-miR-151-5p	12577
hsa-miR-4315	21640
hsa-miR-193a-5p	4619
hsa-miR-34c-5p	2187
hsa-miR-27a	1960
hsa-miR-382	726
hsa-miR-374a	5686
hsa-miR-190	2521
hsa-miR-151-3p	2643
hsa-miR-328	1382
hsa-miR-101	6520
hsa-miR-4295	1140
hsa-miR-92b	1286
hsa-miR-551b	844
hsa-miR-374b	5046
hsa-miR-3676	548
hsa-miR-1260b	2129
hsa-miR-532-5p	3503
hsa-miR-590-3p	833
hsa-miR-600	2027
hsa-miR-497	8549
hsa-miR-744	546
hsa-miR-106b	2332
hsa-miR-361-5p	2914
hsa-let-7a	4215
hsa-miR-345	2237
hsa-miR-708	754
hsa-miR-137	510
hsa-miR-495	817
hsa-miR-126	1175
hsa-miR-299-5p	1855
hsa-miR-628-5p	508
hsa-miR-186	3398
hsa-miR-210	4228
hsa-miR-1280	3275
hsa-miR-873	1927
hsa-miR-127-3p	544
hsa-miR-652	1467
hsa-miR-2355-5p	589
hsa-miR-370	726
hsa-miR-149	748
hsa-miR-329	1111
hsa-miR-155	718
hsa-miR-1973	1090
hsa-miR-887	620
hsa-miR-301b	679
hsa-miR-654-3p	1405
hsa-miR-636	802
hsa-miR-28-5p	1142
hsa-miR-324-5p	1135
hsa-miR-454	632
hsa-miR-4284	2070
hsa-miR-20a	2341
hsa-miR-204	921
hsa-miR-146b-5p	1140
hsa-miR-30c	530
hsa-miR-1274b	576
hsa-miR-423-5p	1003
hsa-miR-192	801
hsa-miR-485-3p	663
hsa-miR-655	726
hsa-miR-1274a	1084
hsa-miR-936	666
hsa-miR-664	780
hsa-miR-3182	2522
hsa-miR-720	615
hsa-miR-615-3p	736
hsa-miR-369-5p	789
hsa-miR-188-5p	959
hsa-miR-181c	832
hsa-miR-132	525
hsa-miR-1307	585
