miR	Counts
hsa-miR-145	1025888
hsa-miR-31	60486
hsa-miR-130b	50675
hsa-miR-21	921843
hsa-miR-125b	350751
hsa-miR-222	34930
hsa-miR-10b	8643
hsa-miR-29a	88658
hsa-miR-29b	86072
hsa-let-7g	21867
hsa-miR-199a-5p	50865
hsa-miR-152	9638
hsa-miR-221	96743
hsa-miR-24	256419
hsa-miR-143	51485
hsa-miR-214	17302
hsa-miR-125a-5p	61444
hsa-miR-26a	29725
hsa-miR-181a	5944
hsa-let-7f	20559
hsa-miR-328	2206
hsa-miR-29c	11010
*	2547667
hsa-miR-195	1124
hsa-miR-4286	24677
hsa-miR-365	4819
hsa-miR-100	17490
hsa-miR-148a	5462
hsa-miR-22	9183
hsa-miR-30a	11848
hsa-miR-140-5p	2308
hsa-let-7b	31054
hsa-miR-10a	24589
hsa-miR-874	1875
hsa-miR-590-5p	1704
hsa-miR-199b-5p	5745
hsa-miR-17	3024
hsa-miR-130a	63292
hsa-miR-99a	23180
hsa-miR-185	2459
hsa-miR-26b	5552
hsa-miR-28-3p	1571
hsa-miR-4301	2861
hsa-miR-15b	4805
hsa-miR-19b	20623
hsa-miR-16	13823
hsa-miR-19a	5281
hsa-miR-337-3p	4352
hsa-miR-23a	3564
hsa-miR-34a	10256
hsa-miR-210	2755
hsa-miR-376c	3033
hsa-miR-494	588
hsa-miR-191	22836
hsa-miR-99b	3910
hsa-miR-186	1045
hsa-miR-140-3p	23110
hsa-miR-484	6365
hsa-miR-192	509
hsa-let-7i	12046
hsa-miR-193a-5p	2002
hsa-miR-138	6995
hsa-miR-574-3p	14526
hsa-miR-30e	2556
hsa-let-7d	6980
hsa-miR-25	2716
hsa-miR-92a	7646
hsa-miR-483-3p	9764
hsa-miR-218	3747
hsa-miR-30d	1957
hsa-miR-654-3p	1161
hsa-miR-23b	7664
hsa-miR-487b	1282
hsa-miR-92b	1119
hsa-miR-137	528
hsa-miR-424	6320
hsa-miR-331-3p	7857
hsa-miR-4315	8536
hsa-miR-423-3p	1600
hsa-miR-193b	6347
hsa-miR-342-3p	5859
hsa-miR-4295	582
hsa-miR-1274b	560
hsa-miR-224	2106
hsa-miR-151-5p	4041
hsa-miR-197	2113
hsa-miR-361-3p	820
hsa-miR-129-3p	2071
hsa-miR-324-5p	737
hsa-miR-148b	1297
hsa-miR-128	1596
hsa-miR-4284	3467
hsa-miR-98	1244
hsa-miR-34c-5p	517
hsa-miR-744	638
hsa-miR-323b-3p	720
hsa-miR-27a	1069
hsa-let-7e	5583
hsa-miR-301a	6153
hsa-miR-660	1142
hsa-miR-374a	879
hsa-miR-1274a	1196
hsa-miR-3182	1861
hsa-miR-136	3386
hsa-miR-551b	1016
hsa-miR-574-5p	2203
hsa-miR-1280	6333
hsa-miR-532-5p	1223
hsa-miR-362-5p	677
hsa-miR-1260b	3337
hsa-miR-329	595
hsa-miR-370	1025
hsa-miR-181b	1491
hsa-miR-339-5p	2693
hsa-miR-101	1020
hsa-miR-425	937
hsa-miR-324-3p	598
hsa-miR-193a-3p	1227
hsa-miR-542-3p	512
hsa-miR-379	1132
hsa-miR-485-3p	574
hsa-miR-374b	1604
hsa-miR-452	1013
hsa-miR-15a	2414
hsa-miR-652	1649
hsa-miR-345	1609
hsa-miR-361-5p	994
hsa-miR-106b	824
hsa-miR-455-3p	1839
hsa-miR-1973	570
hsa-miR-149	692
hsa-miR-887	501
hsa-let-7a	642
hsa-miR-23c	917
hsa-miR-299-5p	584
hsa-miR-720	1903
hsa-miR-335	1325
hsa-miR-505	1175
hsa-miR-3613-5p	669
hsa-miR-3912	578
hsa-miR-20a	623
hsa-miR-151-3p	847
hsa-miR-204	781
hsa-miR-762	628
hsa-miR-497	575
hsa-miR-600	763
