miR	Counts
hsa-miR-145	885331
hsa-miR-125b	429583
hsa-miR-125a-5p	104685
hsa-miR-130b	427487
*	4867748
hsa-miR-24	201270
hsa-miR-29c	8670
hsa-miR-10a	18388
hsa-miR-940	880
hsa-miR-199a-5p	22324
hsa-miR-331-3p	9848
hsa-miR-221	127313
hsa-miR-21	618318
hsa-miR-222	34707
hsa-miR-34a	40993
hsa-miR-138	16898
hsa-miR-29b	93604
hsa-miR-3164	3721
hsa-miR-143	32167
hsa-miR-100	91878
hsa-miR-660	1085
hsa-miR-191	27197
hsa-miR-4286	36142
hsa-miR-484	7598
hsa-miR-31	48226
hsa-miR-345	1632
hsa-miR-197	4391
hsa-miR-26b	2655
hsa-miR-26a	21125
hsa-miR-30a	12200
hsa-miR-140-3p	46267
hsa-miR-19a	3899
hsa-miR-22	14543
hsa-miR-204	865
hsa-miR-3182	12424
hsa-miR-483-3p	6958
hsa-miR-16	13926
hsa-miR-15b	5454
hsa-miR-151-5p	5336
hsa-miR-19b	13415
hsa-miR-574-3p	26218
hsa-miR-92a	7617
hsa-miR-23b	5776
hsa-miR-99b	3172
hsa-miR-342-3p	5798
hsa-miR-361-5p	1165
hsa-miR-590-5p	1988
hsa-let-7e	3127
hsa-miR-29a	91554
hsa-miR-130a	55466
hsa-miR-199b-5p	4025
hsa-miR-214	13386
hsa-let-7b	18880
hsa-miR-365	6157
hsa-miR-193b	13032
hsa-miR-1280	18196
hsa-miR-4301	5369
hsa-miR-10b	11811
hsa-let-7d	4096
hsa-miR-1274a	1834
hsa-miR-4284	6667
hsa-let-7f	19630
hsa-miR-4315	42630
hsa-miR-652	4263
hsa-miR-218	3845
hsa-miR-296-5p	791
hsa-miR-28-3p	2816
hsa-miR-15a	1927
hsa-miR-152	6314
hsa-miR-1260b	10370
hsa-miR-99a	11676
hsa-miR-376c	1948
hsa-miR-92b	1471
hsa-miR-17	3260
hsa-let-7i	8386
hsa-miR-140-5p	2332
hsa-miR-23a	2341
hsa-miR-148a	2867
hsa-miR-874	2013
hsa-miR-193a-5p	1740
hsa-let-7g	15484
hsa-miR-301a	4685
hsa-miR-551b	1109
hsa-miR-379	550
hsa-miR-30e	1356
hsa-miR-361-3p	1183
hsa-miR-337-3p	3232
hsa-miR-122	678
hsa-miR-720	7360
hsa-miR-30d	2084
hsa-miR-744	543
hsa-miR-181a	4147
hsa-miR-3912	1412
hsa-miR-25	2166
hsa-miR-567	4586
hsa-miR-210	2963
hsa-miR-148b	696
hsa-miR-424	4498
hsa-miR-93	2962
hsa-miR-195	1441
hsa-miR-106b	1017
hsa-miR-151-3p	819
hsa-miR-101	734
hsa-miR-185	3295
hsa-miR-27a	1031
hsa-miR-671-5p	539
hsa-miR-532-5p	1508
hsa-miR-128	1526
hsa-miR-542-3p	535
hsa-miR-136	1389
hsa-miR-324-3p	683
hsa-miR-339-5p	2121
hsa-miR-370	814
hsa-miR-205	830
hsa-miR-574-5p	2431
hsa-miR-654-3p	877
hsa-miR-328	3500
hsa-miR-4295	571
hsa-miR-196a	1158
hsa-miR-487b	760
hsa-miR-423-3p	2084
hsa-miR-3150	575
hsa-miR-1274b	864
hsa-miR-20a	799
hsa-miR-1973	943
hsa-miR-193a-3p	1315
hsa-miR-455-3p	1188
hsa-miR-186	806
hsa-miR-181b	1196
hsa-miR-374a	524
hsa-miR-23c	697
hsa-miR-3614-5p	533
hsa-miR-3944	615
hsa-miR-615-3p	1274
hsa-miR-1307	599
hsa-miR-505	1539
hsa-miR-155	2202
hsa-miR-129-3p	569
hsa-miR-324-5p	769
hsa-miR-98	943
hsa-miR-149	1280
hsa-miR-374b	793
hsa-miR-425	590
hsa-miR-224	854
hsa-miR-3152	538
hsa-miR-150	662
hsa-miR-455-5p	531
